i,j,omega0,M_inv_xx,M_inv_xy,M_inv_yy,v_g_x,v_g_y
<<<<<<< HEAD
0,0,0.14024755621545557,66.16694980450337,-68.66538044885135,66.16693178746607,2.9738212115049496,2.9738210876981572
0,1,0.1810196172026728,90.56224969482523,-85.90916181916843,90.96323619766338,3.8976324669530173,3.9003480894357776
0,2,0.16513650130512963,79.7095954218524,-80.16152542360228,79.00336814738284,3.5208353504961654,3.5160121135284133
0,3,0.19803415217005474,100.94080035989855,-93.13596491098312,100.94160991609368,4.2840630596347005,4.284069893110493
0,4,0.17496904235690214,86.986918691839,-83.59413664029671,86.29545284429885,3.758738477868749,3.75404887877977
0,5,0.1978012205044741,100.8127791380145,-93.0308212056325,100.81397664647606,4.278916800817557,4.278923258034475
0,6,0.1666541886763758,80.35209491090406,-80.93459347098843,79.78870605877958,3.5526249109814487,3.548775594177221
0,7,0.1803505335250953,89.90677651816631,-85.75877465907266,90.27554875469579,3.879576502518929,3.882077627303626
1,0,0.18101963336968352,90.96879035490417,-85.90317458198962,90.56792324221712,3.9004033494966213,3.897687732174736
1,1,0.1961953728670617,99.90734456971545,-92.31892323253065,99.9067026553041,4.243161809519176,4.243157046473672
1,2,0.17171348187003985,83.23069326070298,-83.10281100802605,82.98970981329617,3.6661758846535717,3.664534835044923
1,3,0.17751740814446268,87.39943411234934,-85.00030756785775,87.68034227277066,3.8062443903951677,3.8081525174532893
1,4,0.1581546749717966,74.5748962548376,-77.33299458497375,75.24578294243966,3.355038538542171,3.3596385460288563
1,5,0.17505123820714047,85.50713221561811,-84.2086945638825,85.84612915541605,3.7460754605428024,3.748381619827738
1,6,0.17254806211379226,83.85033396292206,-83.28035305118719,83.73785216100465,3.6864599379407585,3.685694249475253
1,7,0.19285174707076633,97.9276677271737,-90.89501158299096,97.91670681057602,4.167663550068316,4.167590712202022
2,0,0.16513508014701703,78.98569749047013,-80.17957741361984,79.69164587462524,3.5158145308426647,3.520636269719217
2,1,0.16841821718613384,80.66825377813669,-81.85381230297727,81.0050389616454,3.58626862213868,3.5885657475472965
2,2,0.17820559548031492,87.90105726060621,-85.29183947188348,87.95399151169892,3.8222221261925635,3.8225816824394965
2,3,0.18441238402686838,92.43697484220935,-87.58726570429243,92.34057432512988,3.971634521118142,3.970980992729192
2,4,0.19577896394585773,99.68662136275036,-92.13053951676909,99.67569416866606,4.234033769264257,4.233965112780727
2,5,0.18586943013527116,93.56659551070817,-88.03731315840085,93.44980604648167,4.007349261436797,4.0065583801245
2,6,0.18463832311922773,92.50087918440175,-87.68869180320493,92.5298650698203,3.976208929246139,3.9764057927147656
2,7,0.1657901663312556,79.00435683299844,-80.76751176372503,79.12064679604785,3.525062530119172,3.5258560225993425
3,0,0.19803409285394633,100.94173993097644,-93.13563071818103,100.94113536798676,4.284070594630246,4.284064659535034
3,1,0.17861215319401322,88.97123793984635,-85.16631611333709,88.57285318162184,3.8397516537627836,3.837048837692429
3,2,0.19280118691952947,97.8967607068118,-90.86529274800996,97.91824901738688,4.166590744969022,4.1667348481463335
3,3,0.16091185602889332,76.15146281120782,-78.7557156366406,75.90812229800264,3.4145878342113147,3.4129208502208197
3,4,0.1735484362740522,85.17011558785592,-83.13912875606722,85.87364971869043,3.7189117078882643,3.72368866938476
3,5,0.15504241466683996,72.63516361811467,-76.27187894979184,72.50964778128754,3.2819369431291725,3.281074809747217
3,6,0.1904733488285603,96.52011423469636,-89.84757836451283,96.58666785845398,4.114175007821459,4.114623381965658
3,7,0.1720316573773098,84.47183403570368,-82.75180286598848,83.8436087682079,3.684157434898366,3.6798822626521024
4,0,0.17496955707240197,86.29574484711245,-83.5943172067274,86.98721952117211,3.754060823736796,3.758750253385441
4,1,0.15061217126101506,71.03408868733187,-73.90745480283375,70.52390360086507,3.192481927724041,3.1889729950623877
4,2,0.19164237136267268,97.25243282440427,-90.33432354637591,97.31752147940475,4.141020003394695,4.141455158691929
4,3,0.17053217478790852,83.55521730667058,-82.12661452526388,82.85468982539761,3.649793159667522,3.645025229030878
4,4,0.19871246737655052,101.31164628004812,-93.4428095154895,101.31105494383702,4.299023195714254,4.299024422444024
4,5,0.17413924886842372,86.2521651080747,-83.37106198293323,85.58367642917702,3.7374286439882596,3.732892620735352
4,6,0.19519452160771736,99.33552241011306,-91.87637919717186,99.34704649100095,4.220824288773274,4.220906799296421
4,7,0.1605906699055566,76.0461492605674,-78.66334093198166,75.66056407139531,3.4081138074314676,3.4054704085173024
5,0,0.19780119752908887,100.81328632878584,-93.03130398499628,100.81238915480571,4.278916689119836,4.278912630651624
5,1,0.1811850130981492,90.66501247673914,-86.18247458051074,90.35130356302517,3.899933457634226,3.8978067831884413
5,2,0.19173093786733741,97.24618721189876,-90.40773323330745,97.2595792392436,4.14219580000834,4.142286067660265
5,3,0.1658299161796517,78.96900883237606,-80.94588854521443,78.90695036140981,3.5251085495941092,3.5246844530840815
5,4,0.1712543371120436,83.31486172027446,-82.43048403571616,83.9641260697485,3.661585287317104,3.6660042392596695
5,5,0.16171169959460063,76.41691726989141,-79.0536043271673,76.78988004223314,3.4316883035692607,3.434242208409012
5,6,0.1797526575933568,88.9163841602697,-85.9481819728022,89.04772074800005,3.858579839411491,3.85947066499705
5,7,0.17996928217570193,89.32894985779454,-85.90350855890608,89.18198392279724,3.865876489566934,3.86488026672044
6,0,0.16665968555359983,79.84745385791636,-80.87585066294255,80.41077036335969,3.5494452280416975,3.5532924674007247
6,1,0.16767071055716212,80.51346563860723,-81.28007598917061,81.04805672218023,3.5729446626716244,3.5765937939230676
